n_ris,seed,scenario,bank_checksum,checkpoint_step,actor_repeats,decode_repeats,end_to_end_repeats,td3_actor_ms,td3_decode_ms,td3_decision_ms,td3_end_to_end_ms,td3_sum_rate,td3_qos_fraction,td3_all_qos,td3_violation,ao_sca_end_to_end_ms,ao_sca_iterations,ao_sca_evaluations,ao_sca_sum_rate,ao_sca_qos_fraction,ao_sca_all_qos,ao_sca_violation,ao_grid_end_to_end_ms,ao_grid_iterations,ao_grid_evaluations,ao_grid_sum_rate,ao_grid_qos_fraction,ao_grid_all_qos,ao_grid_violation,analytical_ris_end_to_end_ms,analytical_ris_iterations,analytical_ris_evaluations,analytical_ris_sum_rate,analytical_ris_qos_fraction,analytical_ris_all_qos,analytical_ris_violation
64,0,48,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.21742665,0.06716018,0.28458683,0.56550965,8.95133189802453,1.0,1.0,0.0,1005.967658,9,3648,17.6305261302755,1.0,1.0,0.0,541.361732,2,2815,3.9820331754498084,1.0,1.0,0.0,0.256831,0,1,1.982056589981953,0.0,0.0,0.017943410018047057
64,0,49,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.22835270000000002,0.06836674000000001,0.29671944000000006,0.57767945,7.997653106543668,1.0,1.0,0.0,1228.186038,12,4873,18.296652467444183,1.0,1.0,0.0,537.566962,2,2815,3.982044600205911,1.0,1.0,0.0,0.283046,0,1,1.9820654271925449,0.0,0.0,0.017934572807455085
64,0,50,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.22655867000000002,0.07344166,0.30000033000000004,0.6033987,11.517147806778723,1.0,1.0,0.0,1426.571149,14,5687,17.887616444890384,1.0,1.0,0.0,545.194699,2,2815,3.9820361628085297,1.0,1.0,0.0,0.274793,0,1,1.9820629094698132,0.0,0.0,0.017937090530186883
64,0,51,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.21698447,0.06734582,0.28433029,0.53831945,13.526735442464544,1.0,1.0,0.0,613.877148,6,2441,17.62331401741364,1.0,1.0,0.0,559.807605,2,2815,3.9820411441242287,1.0,1.0,0.0,0.257649,0,1,1.9820534674010963,0.0,0.0,0.01794653259890372
64,0,52,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.21588959,0.0740479,0.28993749,0.56639855,12.22579094920692,1.0,1.0,0.0,432.531487,4,1629,17.27867888438238,1.0,1.0,0.0,556.334934,2,2815,3.982022364655801,1.0,1.0,0.0,0.259919,0,1,1.9820605509108082,0.0,0.0,0.01793944908919176
64,0,53,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.22553341,0.07208112,0.29761453,0.623052,13.145738139131645,1.0,1.0,0.0,2132.628018,20,8134,17.618244023291343,1.0,1.0,0.0,562.02932,2,2815,3.9820212061022024,1.0,1.0,0.0,0.281389,0,1,1.982052550807209,0.0,0.0,0.017947449192790788
64,0,54,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.22823709,0.07257161,0.3008087,0.5713647,12.01637828920889,1.0,1.0,0.0,1190.952483,11,4466,17.84857804535797,1.0,1.0,0.0,535.910171,2,2815,3.982034409655424,1.0,1.0,0.0,0.256387,0,1,1.9820605948444037,0.0,0.0,0.017939405155596222
64,0,55,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.22765751,0.07595088,0.30360839,0.57424205,12.979192355483846,1.0,1.0,0.0,1465.744689,14,5673,17.763004622479876,1.0,1.0,0.0,533.493724,2,2815,3.9820275303644586,1.0,1.0,0.0,0.316964,0,1,1.9820597366469312,0.0,0.0,0.017940263353068864
64,0,56,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.22062449999999997,0.06693874,0.28756324,0.56310025,10.519038453718256,1.0,1.0,0.0,615.595727,6,2450,17.446960349236385,1.0,1.0,0.0,540.145109,2,2815,3.982040068048841,1.0,1.0,0.0,0.257037,0,1,1.9820621146901904,0.0,0.0,0.01793788530980961
64,0,57,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.21462983000000002,0.07455198,0.28918181000000004,0.5408781,13.107523635175546,1.0,1.0,0.0,862.877283,8,3262,17.357897821968386,1.0,1.0,0.0,546.423433,2,2815,3.982031113883792,1.0,1.0,0.0,0.230936,0,1,1.9820588725994794,0.0,0.0,0.017941127400520618
64,0,58,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.20807615,0.06410592,0.27218207,0.52563435,12.873068734992504,1.0,1.0,0.0,2190.189566,20,8136,17.99813773011186,1.0,1.0,0.0,548.474465,2,2815,3.982039947655442,1.0,1.0,0.0,0.252039,0,1,1.982060563621809,0.0,0.0,0.017939436378191176
64,0,59,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.23126581000000002,0.07814894,0.30941475,0.61861155,11.711381262174298,1.0,1.0,0.0,326.747906,3,1219,17.135220308985296,1.0,1.0,0.0,566.459462,2,2815,3.982023677525061,1.0,1.0,0.0,0.236374,0,1,1.9820570195174416,0.0,0.0,0.01794298048255827
64,0,60,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.20519651,0.06605536,0.27125187,0.53376135,13.997303616275907,1.0,1.0,0.0,1781.241501,17,6889,18.029170664114126,1.0,1.0,0.0,509.462077,2,2815,3.9820409208059804,1.0,1.0,0.0,0.231803,0,1,1.9820561567032577,0.0,0.0,0.0179438432967422
64,0,61,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,95000,100,100,20,0.21622883,0.06416592,0.28039475,0.6312634,10.83164803199296,1.0,1.0,0.0,858.113925,8,3250,17.786817210630055,1.0,1.0,0.0,572.037721,2,2815,3.982034387541944,1.0,1.0,0.0,0.254532,0,1,1.9820583529858082,0.0,0.0,0.01794164701419182
