method,n_ris,scenario,inference_ms,evaluation_ms,solve_ms,cpu_threads,seed,config_hash,bank_checksum
analytical_ris,128,72,,,0.142355,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,73,,,0.138499,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,74,,,0.162025,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,75,,,0.145069,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,76,,,0.147643,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,77,,,0.143777,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,78,,,0.157047,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,79,,,0.139571,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,80,,,0.156446,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,81,,,0.159711,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,82,,,0.146561,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,83,,,0.145961,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,84,,,0.158199,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,85,,,0.147943,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
analytical_ris,128,86,,,0.155455,1,0,895cf8987087c169d7023476c078ebabf24f99fbbc30b65ad7fae1097d95a6fe,f4c80269e5fb3cf553900b2e82f235af875b7c2e33b4ff71ec5d85cc25eb2b4e
