method,n_ris,scenario,inference_ms,evaluation_ms,solve_ms,cpu_threads,seed,config_hash,bank_checksum,latency_protocol
analytical_ris,16,73,,,0.12227,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,74,,,0.118345,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,75,,,0.117803,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,76,,,0.116452,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,77,,,0.11502,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,78,,,0.1155,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,79,,,0.125034,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,80,,,0.128099,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,81,,,0.132525,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,82,,,0.131334,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,83,,,0.116442,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,84,,,0.118134,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,85,,,0.116662,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,86,,,0.132646,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,87,,,0.120037,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,88,,,0.116532,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,89,,,0.114869,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,90,,,0.117002,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,91,,,0.119646,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,92,,,0.116282,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,93,,,0.120989,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,94,,,0.123502,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,95,,,0.120428,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,96,,,0.119926,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,97,,,0.12154,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,98,,,0.118705,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,16,99,,,0.118715,1,0,ebd605c7656308e79f486476ed71990b8de1f5e7e74875072300d3e4ab7e7ba2,ee98d51d23f2f29facb379bf4250dad3e33d568085dfd332a582372e84151ce7,single_thread_same_runner_warmup10_count100_v2
analytical_ris,32,0,,,0.1085,1,0,2a8450eb5d4f6f05c03681c57cc71c0590f449be523644dbfde0384d2f23053d,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,single_thread_same_runner_warmup10_count100_v2
analytical_ris,32,1,,,0.160546,1,0,2a8450eb5d4f6f05c03681c57cc71c0590f449be523644dbfde0384d2f23053d,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,single_thread_same_runner_warmup10_count100_v2
analytical_ris,32,2,,,0.14927,1,0,2a8450eb5d4f6f05c03681c57cc71c0590f449be523644dbfde0384d2f23053d,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,single_thread_same_runner_warmup10_count100_v2
analytical_ris,32,3,,,0.141448,1,0,2a8450eb5d4f6f05c03681c57cc71c0590f449be523644dbfde0384d2f23053d,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,single_thread_same_runner_warmup10_count100_v2
analytical_ris,32,4,,,0.146085,1,0,2a8450eb5d4f6f05c03681c57cc71c0590f449be523644dbfde0384d2f23053d,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,single_thread_same_runner_warmup10_count100_v2
analytical_ris,32,5,,,0.132595,1,0,2a8450eb5d4f6f05c03681c57cc71c0590f449be523644dbfde0384d2f23053d,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,single_thread_same_runner_warmup10_count100_v2
analytical_ris,32,6,,,0.133517,1,0,2a8450eb5d4f6f05c03681c57cc71c0590f449be523644dbfde0384d2f23053d,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,single_thread_same_runner_warmup10_count100_v2
analytical_ris,32,7,,,0.133687,1,0,2a8450eb5d4f6f05c03681c57cc71c0590f449be523644dbfde0384d2f23053d,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,single_thread_same_runner_warmup10_count100_v2
