method,n_ris,seed,best_validation_step,best_validation_feasible,initial_sum_rate,best_sum_rate,latest_sum_rate,learning_gain_best_minus_initial,latest_gain_minus_initial,best_all_qos,latest_all_qos,best_qos_fraction,best_violation,training_seconds,interactions_per_second,total_wall_seconds,device_name,peak_gpu_memory_mb,config_hash,test_bank_checksum,repository_commit,embedded_runtime_identifier,archive,archive_sha256
ppo,32,0,100000,True,4.486211304481104,5.447640955694922,5.447640955694922,0.9614296512138178,0.9614296512138178,0.999,0.999,0.99975,3.9424382659977104e-05,202.169175447,494.6352468367052,215.250393871,Tesla T4,43.68359375,7e3b68943411078c9b1449a8f5722ba7caf90756db149e0a9b085f7b455e9589,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ppo_n32_seed0.zip,1feda521245d3a14a86ffa4e3221f6e8ebc043f8b0a7d2ff07281bb14732674e
ppo,32,1,100000,True,4.346426767152644,5.987129791818595,5.987129791818595,1.6407030246659513,1.6407030246659513,1.0,1.0,1.0,0.0,189.44358746599994,527.8616253925583,203.15185738899999,Tesla T4,43.68359375,7e3b68943411078c9b1449a8f5722ba7caf90756db149e0a9b085f7b455e9589,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ppo_n32_seed1.zip,a1a9ee24adc73c1479313ac39766b8a0329f6d38f4f0c8a43a0ec7c6a44fee3c
ppo,32,2,100000,True,4.6261293852020025,5.8885426804539325,5.8885426804539325,1.26241329525193,1.26241329525193,0.999,0.999,0.99975,1.22377205260389e-05,187.51746428900003,533.2836617600641,200.02047902099997,Tesla T4,43.68359375,7e3b68943411078c9b1449a8f5722ba7caf90756db149e0a9b085f7b455e9589,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ppo_n32_seed2.zip,7ad9997545c87477b89e8520ea0521ef2f039f935725563ba789ee17c3bae7d8
ppo,32,3,100000,True,4.631921259786835,5.940287988494639,5.940287988494639,1.3083667287078038,1.3083667287078038,0.999,0.999,0.99975,1.60945035901455e-05,218.374715388,457.92847318575207,232.18646872699998,Tesla T4,43.68359375,7e3b68943411078c9b1449a8f5722ba7caf90756db149e0a9b085f7b455e9589,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ppo_n32_seed3.zip,13a62d53128d2acc100f56fb9508c4c3933636e1115da9ecbff304be1263bfd2
ppo,32,4,96256,True,4.567165220068094,5.668646186139906,5.630073586871627,1.1014809660718123,1.0629083668035335,0.999,1.0,0.99925,0.0005016825353880652,191.54581966999996,522.0682976651882,205.50225607399994,Tesla T4,43.68359375,7e3b68943411078c9b1449a8f5722ba7caf90756db149e0a9b085f7b455e9589,6ec54735c1c2c35cd253d9d3d23295783293b6d64c65204dfcab16b2d59ebbef,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ppo_n32_seed4.zip,ea368adf928eee64b0ce019b02db3cb34d1eedfadfc4292c54ae97138b1cc883
ppo,64,0,90112,True,4.540766669389579,5.73143180026072,5.698486970841658,1.1906651308711407,1.1577203014520787,1.0,1.0,1.0,0.0,190.48965316699997,524.9628960809289,203.05529100499996,Tesla T4,54.09326171875,97b65cce0f72ffe40b0575ec4d76bcf34beb5f36eb5188d6c71d7e623f342859,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ppo_n64_seed0.zip,63c2dab85ff8ca8d01e5ae6977b6d4a4f15cea2c13e969b89f10cd2b12a5076d
ppo,64,1,96256,True,4.476511546656591,5.195640707938757,5.185481155943448,0.7191291612821669,0.7089696092868571,1.0,1.0,1.0,0.0,203.358618413,491.7421291528963,216.42572832900004,Tesla T4,54.09326171875,97b65cce0f72ffe40b0575ec4d76bcf34beb5f36eb5188d6c71d7e623f342859,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ppo_n64_seed1.zip,f1ddb493b68c62bf14c15cf720b0b9a440d3a86101e45785d528a5f15e953606
ppo,64,2,100000,True,4.581813479323157,6.381925395211449,6.381925395211449,1.8001119158882926,1.8001119158882926,0.999,0.999,0.99925,0.0004848896076506592,199.50557037100003,501.23913740373393,212.505081164,Tesla T4,54.09326171875,97b65cce0f72ffe40b0575ec4d76bcf34beb5f36eb5188d6c71d7e623f342859,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ppo_n64_seed2.zip,88f4644ed36b51531fe90faa3b278429dfaa883a3c35675e14b1d07e5b17b0a5
ppo,64,3,96256,True,4.549669584681032,5.523854406487318,5.535234822359666,0.9741848218062854,0.9855652376786335,1.0,1.0,1.0,0.0,188.98968147000005,529.1294171310292,200.688839894,Tesla T4,54.09326171875,97b65cce0f72ffe40b0575ec4d76bcf34beb5f36eb5188d6c71d7e623f342859,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ppo_n64_seed3.zip,690f478e9acee1e54de3c9535f7019ff0e572740d9a6dcbf064bc13d0242bd55
ppo,64,4,96256,True,4.512179876866254,5.825876133813565,5.750876934170761,1.3136962569473107,1.238697057304507,1.0,1.0,1.0,0.0,194.88889176500004,513.1128772622993,207.46496346599997,Tesla T4,54.09326171875,97b65cce0f72ffe40b0575ec4d76bcf34beb5f36eb5188d6c71d7e623f342859,ae41070d268d283dcc283b0aaf9b960eae1f4ddd22d423577b272c18802a3aae,ae3e2c2f7715ce184f98088b8526432e8e36b69c,fc61d5cda7da39530055bae9bd0e92865f995cd9,physical_v6_ppo_n64_seed4.zip,ae847821d2288329f17555d96e886afb60e7ad98a524c37f4a9db4bca4d69313
